year,month,monthly_count,avg_magnitude,major_earthquakes
2020,1,345,4.46,20
2020,2,287,4.5,33
2020,3,268,4.45,24
2020,4,275,4.43,20
2020,5,293,4.46,26
2020,6,256,4.42,19
2020,7,304,4.39,11
2020,8,311,4.46,30
2020,9,329,4.49,34
2020,10,303,4.47,27
2020,11,295,4.44,26
2020,12,323,4.46,32
2021,1,290,4.49,34
2021,2,316,4.49,37
2021,3,272,4.43,20
2021,4,319,4.46,33
2021,5,346,4.46,33
2021,6,366,4.46,30
2021,7,338,4.45,25
2021,8,365,4.46,26
2021,9,294,4.45,15
2021,10,325,4.43,25
2021,11,325,4.43,19
2021,12,456,4.49,36
2022,1,370,4.42,23
2022,2,308,4.46,19
2022,3,449,4.47,39
2022,4,459,4.45,33
2022,5,378,4.44,42
2022,6,311,4.43,21
2022,7,431,4.45,32
2022,8,435,4.45,35
2022,9,431,4.45,32
2022,10,410,4.44,37
2022,11,380,4.45,43
2022,12,377,4.47,36
2023,1,581,4.45,41
2023,2,402,4.44,31
2023,3,376,4.48,43
2023,4,339,4.47,40
2023,5,421,4.43,35
2023,6,371,4.43,23
2023,7,386,4.43,27
2023,8,366,4.45,31
2023,9,387,4.43,30
2023,10,536,4.52,64
2023,11,486,4.48,34
2023,12,872,4.56,124
2024,1,490,4.47,50
2024,2,372,4.44,29
2024,3,387,4.45,36
2024,4,374,4.44,31
2024,5,361,4.44,28
2024,6,350,4.44,18
2024,7,382,4.44,34
2024,8,400,4.44,33
2024,9,333,4.47,35
2024,10,333,4.45,19
2024,11,392,4.47,28
2024,12,372,4.49,37
